"Items Report","","","",""
"Aug 1, 2024 12:00 AM - Aug 31, 2024 11:59 PM","","","",""
"Category Name","Name","Gross Sales","Net Sales","Sold"
"Disposables","Geek Bar Pulse, Miami Mint","$1,086.52","$1,075.02","48"
"Disposables","Geek Bar Pulse X 25K, Lemon Heads","$597.77","$589.97","23"
"Disposables","Geek Bar Pulse X 25K, Miami Mint","$467.82","$466.82","18"
"Disposables","Yogi Lucid Boost 20K, Cool Mint","$413.82","$409.22","18"
"Disposables","Geek Bar Pulse, FAB","$417.81","$409.01","19"
"Disposables","Geek Bar Pulse, Frozen White Grape","$363.84","$354.64","16"
"Disposables","Raz DC25000, Razzle Dazzle","$358.86","$351.06","14"
"Disposables","Geek Bar Pulse, Watermelon Ice","$338.85","$336.55","15"
"Disposables","Pod Juice Bar 30K, Jewel Mint","$322.85","$315.95","15"
"Disposables","Lava Plus 5% Clear Ice","$279.80","$279.80","20"
"Disposables","Geek Bar Pulse, Mexico Mango","$278.87","$278.87","13"
"Disposables","Geek Bar Pulse X 25K, Blue Razz Ice","$273.89","$268.69","11"
"Disposables","Geek Bar Pulse, Blueberry Watermelon","$271.88","$267.28","12"
"Disposables","Lava Plus 5% Cool Mint","$251.82","$251.82","18"
"Disposables","Iron Mike Tyson 15,000, Blue Razz","$235.97","$229.37","11"
"Disposables","Pod Juice Bar 30K, Fruity Pebz","$229.90","$227.60","10"
"Disposables","Off-Stamp SW9000 Refill, Miami Mint","$227.81","$224.21","19"
"Disposables","Geek Bar Pulse, Sour Apple Ice","$224.90","$220.30","10"
"Disposables","Lost Mary Quasar, Super Mint","$206.91","$204.61","9"
"Disposables","Geek Bar Pulse X 25K, Orange Fcuking Fab","$207.92","$202.72","8"
"Disposables","Geek Bar Pulse, Meta Moon","$197.91","$195.71","9"
"Disposables","Geek Bar Pulse, White Gummy Ice","$197.91","$193.51","9"
"Disposables","Iron Mike Tyson 15,000, Menthol","$183.92","$183.92","8"
"Disposables","Geek Bar Pulse, Strawberry Banana","$180.00","$178.00","9"
"Disposables","Geek Bar Pulse X 25K, Sour Fcuking Fab","$181.93","$176.73","7"
"Disposables","Geek Bar Pulse, Blue Razz Ice","$157.93","$153.33","7"
"Disposables","Geek Bar Pulse, Cherry Bomb","$153.93","$151.73","7"
"Disposables","Raz DC25000, Blueberry Watermelon","$155.94","$150.74","6"
"Disposables","Geek Bar Pulse, Dragon Melon","$153.93","$147.33","7"
"Disposables","Geek Bar Pulse, Frozen Strawberry","$147.00","$147.00","7"
"Disposables","Lava Plus 3% Berry Mist","$142.89","$142.89","11"
"Disposables","Lava Big Boy 7,000 Puff 5% Cool Mint","$153.93","$138.53","7"
"Disposables","Lava Plus 5% Strawberry Lemon Mint","$139.90","$138.50","10"
"Disposables","Geek Bar Pulse, Pink Lemonade","$137.94","$135.64","6"
"Disposables","Pod Juice Bar 30K, Blue Razzle Pop","$137.94","$133.34","6"
"Disposables","Off-Stamp SW9000 Refill, California Cherry","$131.89","$130.69","11"
"Disposables","Geek Bar Pulse, Frozen Pina Colada","$131.94","$129.74","6"
"Disposables","Funky Lands Ti7000, Rinbo Cloudd","$125.93","$125.93","7"
"Disposables","Geek Bar Pulse X 25K, Strawberry B-Pop","$129.95","$124.75","5"
"Disposables","Geek Bar Pulse, Orange Creamsicle","$128.94","$124.74","6"
"Disposables","Geek Bar Pulse X 25K, Sour Apple Ice","$129.95","$122.15","5"
"Disposables","Geek Bar Pulse X 25K, Watermelon Ice","$114.95","$112.65","5"
"Disposables","Lightrise TB 18K, Blueberry Raspberry","$114.95","$112.65","5"
"Disposables","Geek Bar Pulse, Grape Lemon","$113.95","$111.65","5"
"Disposables","Geek Bar Pulse, OMG Blow Pop","$111.95","$109.65","5"
"Disposables","Geek Bar Pulse, Sour Apple Blow Pop","$113.95","$109.35","5"
"Disposables","Geek Bar Pulse, Grape Blow Pop","$109.95","$104.36","5"
"Disposables","Lava Plus 3% Blueberry Raspberry Lemon","$103.92","$103.92","8"
"Disposables","Geek Bar Pulse X 25K, Blackberry B-Pop","$103.96","$101.36","4"
"Disposables","Geek Bar Pulse X 25K, Blue Rancher","$103.96","$101.36","4"
"Disposables","Pod Juice Bar 30K, Watermelon Skitz","$91.96","$91.96","4"
"Disposables","Pod Juice Bar 30K, Clear Green","$91.96","$89.66","4"
"Disposables","Geek Bar Pulse, Strawberry Mango","$88.96","$88.96","4"
"Disposables","Geek Bar Pulse, Black Cherry","$112.95","$88.66","5"
"Disposables","Pod Juice Bar 30K, Juicy Rainbow Ice","$91.96","$87.36","4"
"Disposables","Off-Stamp SW9000 Kit, California Cherry","$84.95","$84.95","5"
"Disposables","Geek Bar Pulse, Juicy Peach Ice","$84.96","$82.86","4"
"Disposables","BC5000, Miami Mint","$225.99","$81.99","14"
"Disposables","Lost Mary OS5000, Sour Berry BG","$79.96","$79.96","4"
"Disposables","Lava Big Boy 7,000 Puff 5% Clear","$80.00","$78.00","4"
"Disposables","Lava Plus 3% Solo Mint","$78.00","$78.00","6"
"Disposables","Geek Bar Pulse X 25K, Grapefruit Refresher","$77.97","$77.97","3"
"Disposables","Fifty Bar 6500, Milky Loops","$79.96","$77.96","4"
"Disposables","Lava Big Boy 7,000 Puff 3% Blueberry Raspberry","$75.96","$75.96","4"
"Disposables","Raz DC25000, Iced Blue Dragon","$77.97","$75.37","3"
"Disposables","Raz DC25000, Wintergreen","$77.97","$75.37","3"
"Disposables","Off-Stamp SW9000 Refill, Sour Lush Gummy","$71.94","$71.94","6"
"Disposables","Raz DC25000, Mango Loco","$76.97","$71.77","3"
"Disposables","Raz DC25000, Strawberry Kiwi Pear","$77.97","$71.37","3"
"Disposables","Lava Plus 5% Clear","$69.95","$69.95","5"
"Disposables","Lava Plus 5% Sour Patch","$69.95","$69.95","5"
"Disposables","JUUL Pods, 3% Menthol (4-Pack)","$68.97","$68.97","3"
"Disposables","Lightrise TB 18K, Berry Stardust","$68.97","$68.97","3"
"Disposables","Lost Mary Quasar, Big Bangin Berry","$68.97","$68.97","3"
"Disposables","Spaceman Prism 20K, Candy Trio","$68.97","$68.97","3"
"Disposables","Juice Head 30K, Grape Pop","$73.47","$68.57","3"
"Disposables","Off-Stamp SW9000 Kit, Blue Razz Ice","$67.96","$67.96","4"
"Disposables","Off-Stamp SW9000 Kit, Watermelon Ice","$67.96","$67.96","4"
"Disposables","Digiflavor Lush 20K, Banana Coconut","$68.97","$66.67","3"
"Disposables","Pod Juice Bar 30K, Big Melons","$68.97","$66.67","3"
"Disposables","Pod Juice Bar 30K, White Gummy Ice","$68.97","$66.67","3"
"Disposables","Digiflavor Lush 20K, Cool Mint","$66.00","$66.00","3"
"Disposables","Tyson Heavy Weight, Virgina Tobacco","$65.97","$65.97","3"
"Disposables","Off-Stamp SW16000 Refill, Strawmelon Peach Ice","$65.96","$65.96","4"
"Disposables","Geek Bar Pulse, Frozen Blackberry Fab","$66.97","$64.67","3"
"Disposables","Digiflavor Lush 20K, Sour Apple Rancher","$65.97","$63.77","3"
"Disposables","Geek Bar Pulse, Frozen Watermelon","$67.97","$63.37","3"
"Disposables","Iron Mike Tyson 15,000, Cool Mint","$61.97","$61.97","3"
"Disposables","Fifty Bar 6500, Strawberry Cereal Donut Milk","$59.97","$59.97","3"
"Disposables","Lost Mary OS5000, Watermelon","$59.97","$59.97","3"
"Disposables","Off-Stamp SW9000 Refill, Key Lime","$59.95","$59.95","5"
"Disposables","Lava Big Boy 7,000 Puff 3% Clear Ice","$57.99","$57.99","3"
"Disposables","Geekvape RAZ 0% NIC 6,000 Puff, Spearmint","$59.97","$57.97","3"
"Disposables","Off-Stamp SW9000 Refill, Cherry Strazz","$59.95","$57.55","5"
"Disposables","BC5000, Blue Razz Ice","$56.97","$56.97","3"
"Disposables","Lava Plus 5% Blue Moon (Limited)","$55.96","$55.96","4"
"Disposables","Lava Plus 5% Watermelon With Mint","$55.96","$55.96","4"
"Disposables","Yogi Bar 8000, Java Granola","$57.97","$55.77","3"
"Disposables","Geek Bar Pulse X 25K, Raspberry Peach Lime","$51.98","$51.98","2"
"Disposables","Off-Stamp SW9000 Kit, Sour Lush Gummy","$50.97","$50.97","3"
"Disposables","Digiflavor Lush 20K, Strawberry Ice","$49.98","$49.98","2"
"Disposables","Off-Stamp SW16000 Refill, Dragon Melon Ice","$49.47","$49.47","3"
"Disposables","Geek Bar Pulse X 25K, Sour Mango Pineapple","$51.98","$49.38","2"
"Disposables","Raz DC25000, Black Cherry Peach","$51.98","$49.38","2"
"Disposables","Geek Bar Skyview, Strawberry Ice","$47.98","$47.98","2"
"Disposables","Spaceman Nebula 25K Plus Prism Mint","$47.98","$47.98","2"
"Disposables","Off-Stamp SW9000 Refill, Juicy Peach","$47.96","$47.96","4"
"Disposables","Off-Stamp SW9000 Refill, Watermelon Ice","$47.96","$47.96","4"
"Disposables","Raz DC25000, Strawberry Burst","$51.98","$46.78","2"
"Disposables","Juice Head 30K, Cool Mint","$48.98","$46.53","2"
"Disposables","Geek Bar Pulse, Blow Pop","$45.98","$45.98","2"
"Disposables","Lightrise TB 18K, Watermelon Ice","$45.98","$45.98","2"
"Disposables","Lost Mary Quasar, Cosmic Cherry Ade","$45.98","$45.98","2"
"Disposables","Lost Mary Quasar, Orion Sour Belt","$45.98","$45.98","2"
"Disposables","Pod Juice Bar 30K, Blue Slushy Ice","$45.98","$45.98","2"
"Disposables","Pod Juice Bar 30K, Clear Emerald","$45.98","$45.98","2"
"Disposables","Pod Juice Bar 30K, Juicy Bae Watermelon","$45.98","$45.98","2"
"Disposables","Tyson Round II, Watermelon Gummies","$45.98","$45.98","2"
"Disposables","Yogi Lucid Boost 20K, Watermelon Bubblegum Ice","$45.98","$45.98","2"
"Disposables","Spaceman Nebula 25K Plus Gummy Peach","$47.98","$45.58","2"
"Disposables","Geek Bar Pulse, Frozen Cherry Apple","$44.98","$44.98","2"
"Disposables","Lava Big Boy 7,000 Puff 3% Jolly Rancher Ice","$44.97","$44.97","3"
"Disposables","Keep It 100 Bar, Blue Slushie","$43.98","$43.98","2"
