"Items Report","","","",""
"Dec 1, 2024 12:00 AM - Dec 31, 2024 11:59 PM","","","",""
"Category Name","Name","Gross Sales","Net Sales","Sold"
"Disposables","Geek Bar Pulse, Miami Mint","$923.58","$923.58","42"
"Disposables","Fifty Bar V2 20K, Mint","$395.82","$395.82","18"
"Disposables","Geek Bar Pulse, Mexico Mango","$329.85","$329.85","15"
"Disposables","Lava Plus 5% Clear Ice","$307.78","$307.78","22"
"Disposables","Digiflavor Sky 25K, Sour Watermelon Blue Razz","$298.87","$298.87","13"
"Disposables","Fifty Bar V2 20K, Gold Tobacco","$298.87","$298.87","13"
"Disposables","Digiflavor Sky 25K, Peach Blue Slushy","$275.88","$275.88","12"
"Disposables","Geek Bar Pulse X 25K, Strawberry Watermelon","$224.91","$224.91","9"
"Disposables","Lava Plus 5% Cool Mint","$220.83","$220.83","17"
"Disposables","Geek Bar Pulse, Sour Watermelon Drop","$219.90","$219.90","10"
"Disposables","Raz LTX 25K, New York Mint","$207.92","$207.92","8"
"Disposables","JUUL Pods, 3% Menthol (4-Pack)","$206.91","$206.91","9"
"Disposables","Geek Bar Pulse, Frozen Pina Colada","$197.91","$197.91","9"
"Disposables","Geek Bar Pulse, Frozen White Grape","$197.91","$197.91","9"
"Disposables","Digiflavor Sky 25K, Strawberry Watermelon Coconut","$183.92","$183.92","8"
"Disposables","Geek Bar Pulse X 25K, Lemon Heads","$181.93","$181.93","7"
"Disposables","Off-Stamp SW16000 Refill, Blue Razz Grape Ice","$181.39","$181.39","11"
"Disposables","Off-Stamp SW9000 Refill, Miami Mint","$179.85","$179.85","15"
"Disposables","Geek Bar Pulse, Juicy Peach Ice","$175.92","$175.92","8"
"Disposables","Geek Bar Pulse, Sour Strawberry","$175.92","$175.92","8"
"Disposables","Geek Bar Pulse X 25K, ATL Mint","$174.93","$174.93","7"
"Disposables","Fifty Bar V2 20K, Rainbow Road","$160.93","$160.93","7"
"Disposables","Pod Juice Bar 30K, Cobalt Mint","$160.93","$160.93","7"
"Disposables","Geek Bar Pulse X 25K, Orange Dragon","$155.94","$155.94","6"
"Disposables","Geek Bar Pulse, Sour Blue Dust","$153.93","$153.93","7"
"Disposables","Geek Bar Pulse, Pink Lemonade","$147.96","$147.96","7"
"Disposables","Digiflavor Sky 25K, Miami Mint","$137.94","$137.94","6"
"Disposables","Pod Juice Bar 30K, Strawberry Watermelon Dragonfruit","$137.94","$137.94","6"
"Disposables","Yogi Lucid Boost 20K, Cool Mint","$137.94","$137.94","6"
"Disposables","BC5000, Blue Razz Ice","$132.93","$132.93","7"
"Disposables","Geek Bar Pulse, Sour Gush","$131.94","$131.94","6"
"Disposables","Geek Bar Pulse X 25K, Orange Fcuking Fab","$129.95","$129.95","5"
"Disposables","Lava Plus 3% Berry Mist","$129.90","$129.90","10"
"Disposables","Lava Plus 5% Clear","$125.91","$125.91","9"
"Disposables","Geek Bar Pulse, Watermelon Ice","$124.95","$124.95","6"
"Disposables","Lava Plus 3% Skittles","$116.91","$116.91","9"
"Disposables","Digiflavor Sky 25K, Strawberry Ice","$114.95","$114.95","5"
"Disposables","Fifty Bar V2 20K, Green Apple Blast","$114.95","$114.95","5"
"Disposables","Fifty Bar V2 20K, Milky Loops","$114.95","$114.95","5"
"Disposables","Fifty Bar V2 20K, Vanilla Custard","$114.95","$114.95","5"
"Disposables","BC5000, Miami Mint","$112.00","$112.00","7"
