"Items Report","","","",""
"Jan 1, 2025 12:00 AM - Jan 31, 2025 11:59 PM","","","",""
"Category Name","Name","Gross Sales","Net Sales","Sold"
"Disposables","Geek Bar Pulse, Miami Mint","$571.74","$571.74","26"
"Disposables","Geek Bar Pulse X 25K, Miami Mint","$389.85","$389.85","15"
"Disposables","Digiflavor Sky 25K, Peach Blue Slushy","$344.85","$344.85","15"
"Disposables","Fifty Bar V2 20K, Mint","$329.85","$329.85","15"
"Disposables","Lava Plus 5% Clear Ice","$323.94","$323.94","26"
"Disposables","Fifty Bar V2 20K, Gold Tobacco","$321.86","$321.86","14"
"Disposables","Geek Bar Pulse X 25K, Strawberry Watermelon","$249.90","$249.90","10"
"Disposables","Lava Plus 5% Cool Mint","$246.81","$246.81","19"
"Disposables","Lava Plus 5% Clear","$237.83","$237.83","17"
"Disposables","Geek Bar Meloso 30K, Summer Grape","$233.91","$233.91","9"
"Disposables","Geek Bar Meloso 30K, Watermelon Ice","$233.91","$233.91","9"
"Disposables","Digiflavor Sky 25K, Blackberry Fcuking Fab","$222.91","$222.91","10"
"Disposables","Geek Bar Pulse X 25K, Lemon Heads","$217.92","$217.92","9"
"Disposables","Geek Bar Meloso 30K, Stone Freeze","$207.92","$207.92","8"
"Disposables","Raz LTX 25K, New York Mint","$207.92","$207.92","8"
"Disposables","Fifty Bar V2 20K, Green Apple Blast","$206.91","$206.91","9"
"Disposables","Geek Bar Pulse, Watermelon Ice","$197.91","$197.91","9"
"Disposables","Digiflavor Sky 25K, Miami Mint","$183.92","$183.92","8"
"Disposables","Digiflavor Sky 25K, Sour Watermelon Blue Razz","$183.92","$183.92","8"
"Disposables","Geek Bar Pulse, White Gummy Ice","$175.92","$175.92","8"
"Disposables","Geek Bar Pulse, Frozen Pina Colada","$169.92","$169.92","8"
"Disposables","Fifty Bar 20K, Yeti Mint","$160.93","$160.93","7"
"Disposables","JUUL Pods, 3% Menthol (4-Pack)","$160.93","$160.93","7"
"Disposables","Geek Bar Pulse X 25K, Orange Fcuking Fab","$155.94","$155.94","6"
"Disposables","Lava Plus 3% Berry Mist","$155.88","$155.88","12"
"Disposables","Geek Bar Pulse X 25K, ATL Mint","$149.94","$149.94","6"
"Disposables","Geek Bar Pulse, Frozen Strawberry","$147.00","$147.00","7"
"Disposables","Pod Juice Bar 30K, Jewel Mint","$137.94","$137.94","6"
"Disposables","Geek Bar Pulse, Blue Razz Ice","$131.94","$131.94","6"
"Disposables","Geek Bar Pulse, Cherry Bomb","$131.94","$131.94","6"
"Disposables","Geek Bar Pulse, Crazy Melon","$131.94","$131.94","6"
"Disposables","Geek Bar Pulse, OMG Blow Pop","$131.94","$131.94","6"
"Disposables","Geek Bar Pulse, Sour Blue Dust","$131.94","$131.94","6"
"Disposables","Geek Bar Pulse, Sour Strawberry","$131.94","$131.94","6"
"Disposables","Geek Bar Pulse, Sour Watermelon Drop","$131.94","$131.94","6"
"Disposables","Geek Bar Pulse, Sour Apple Ice","$127.94","$127.94","6"
"Disposables","Geek Bar Meloso 30K, Magic Mint","$124.95","$124.95","5"
"Disposables","Juice Head 30K, Cool Mint","$122.45","$122.45","5"
"Disposables","Fifty Bar V2 20K, Milky Loops","$114.95","$114.95","5"
"Disposables","Fifty Bar V2 20K, Strawberry Cereal Donut Milk","$114.95","$114.95","5"
"Disposables","Fifty Bar V2 20K, Vanilla Custard","$114.95","$114.95","5"
"Disposables","Pod Juice Bar 30K, Strawberry Watermelon Dragonfruit","$114.95","$114.95","5"
"Disposables","Geek Bar Pulse, Berry Bliss","$109.95","$109.95","5"
"Disposables","Geek Bar Pulse, Blueberry Watermelon","$109.95","$109.95","5"
"Disposables","Geek Bar Pulse, Frozen Watermelon","$109.95","$109.95","5"
"Disposables","Geek Bar Pulse, Frozen White Grape","$109.95","$109.95","5"
"Disposables","Geek Bar Pulse, Mexico Mango","$109.95","$109.95","5"
"Disposables","Geek Bar Pulse X 25K, Peppermintz","$103.96","$103.96","4"
"Disposables","Geek Bar Pulse X 25K, Sour Fcuking Fab","$103.96","$103.96","4"
"Disposables","Geek Bar Pulse, Strawberry Banana","$100.00","$100.00","5"
"Disposables","Digiflavor Sky 25K, Strawberry Watermelon Coconut","$91.96","$91.96","4"
"Disposables","Yogi Lucid Boost 20K, Cool Mint","$91.96","$91.96","4"
"Disposables","Geek Bar Pulse, Strawberry Mango","$87.96","$87.96","4"
"Disposables","Off-Stamp SW9000 Refill, Key Lime","$83.93","$83.93","7"
"Disposables","Off-Stamp SW16000 Refill, Blue Razz Grape Ice","$82.45","$82.45","5"
"Disposables","Flonq Max Pro 2% Strawberry Watermelon","$79.96","$79.96","4"
"Disposables","Iron Mike Tyson 15,000, Blue Razz","$79.96","$79.96","4"
"Disposables","Geek Bar Meloso 30K, Blueberry Raspberry","$77.97","$77.97","3"
"Disposables","Geek Bar Pulse X 25K, Banana Taffy Freeze","$77.97","$77.97","3"
"Disposables","Geek Bar Pulse X 25K, Pink & Blue","$77.97","$77.97","3"
"Disposables","Geek Bar Pulse X 25K, Raspberry Peach Lime","$77.97","$77.97","3"
"Disposables","Raz LTX Christmas Edition, Peppermint Candy Cane","$77.97","$77.97","3"
"Disposables","Geek Bar Pulse X 25K, Strawberry Kiwi Ice","$74.97","$74.97","3"
"Disposables","Raz DC25000, Fire & Ice","$74.97","$74.97","3"
"Disposables","Raz LTX 25K, Black Cherry Peach","$72.97","$72.97","3"
"Disposables","Adjust myflavor 30K, Watermelon Mango Peach","$71.97","$71.97","3"
"Disposables","Lava Plus 5% Strawberry Lemon Mint","$69.95","$69.95","5"
"Disposables","Digiflavor Sky 25K, Sky Walker","$68.97","$68.97","3"
