"Items Report","","","",""
"Jun 1, 2024 12:00 AM - Jun 30, 2024 11:59 PM","","","",""
"Category Name","Name","Gross Sales","Net Sales","Sold"
"Disposables","Lightrise TB 18K, Cool Mint","$1,056.00","$996.60","48"
"Disposables","Geek Bar Pulse X 25K, Miami Mint","$363.86","$340.46","14"
"Disposables","Geek Bar Pulse, Miami Mint","$298.87","$287.37","13"
"Disposables","Geek Bar Pulse, Grape Lemon","$298.87","$282.77","13"
"Disposables","Geek Bar Pulse, Mexico Mango","$281.87","$268.07","13"
"Disposables","Pod Juice Bar 30K, Jewel Mint","$275.88","$251.96","12"
"Disposables","Geek Bar Pulse, Crazy Melon","$252.89","$241.39","11"
"Disposables","Geek Bar Pulse, Dragon Melon","$226.90","$215.50","10"
"Disposables","Lava Plus 5% Clear Ice","$209.85","$207.05","15"
"Disposables","Geek Bar Pulse X 25K, Blue Razz Ice","$207.92","$192.32","8"
"Disposables","Pod Juice Bar 30K, Fruity Pebz","$206.91","$188.51","9"
"Disposables","Geek Bar Pulse X 25K, Orange Fcuking Fab","$207.92","$181.92","8"
"Disposables","Pod Juice Bar 30K, White Gummy Ice","$183.92","$175.32","8"
"Disposables","Lightrise TB 18K, Grape Burst","$168.95","$161.95","7"
"Disposables","Geek Bar Pulse, Orange Creamsicle","$160.93","$154.03","7"
"Disposables","Geek Bar Pulse X 25K, Blue Rancher","$155.94","$150.74","6"
"Disposables","Geek Bar Pulse, White Gummy Ice","$160.93","$149.43","7"
"Disposables","Geek Bar Pulse X 25K, Watermelon Ice","$155.94","$148.14","6"
"Disposables","Lightrise TB 18K, Sour Apple Ice","$149.94","$147.44","6"
"Disposables","Geek Bar Pulse, Juicy Peach Ice","$160.93","$147.13","7"
"Disposables","Geek Bar Pulse, Blueberry Watermelon","$137.94","$137.94","6"
"Disposables","Iron Mike Tyson 15,000, Menthol","$143.94","$136.74","6"
"Disposables","Geek Bar Pulse, Blue Razz Ice","$137.94","$135.64","6"
"Disposables","Lightrise TB 18K, Watermelon Ice","$143.96","$134.26","6"
"Disposables","Off-Stamp SW9000 Kit, Miami Mint","$135.92","$132.52","8"
"Disposables","Funky Lands Ti7000, Rinbo Cloudd","$143.93","$129.53","7"
"Disposables","Geek Bar Pulse X 25K, Blackberry B-Pop","$129.95","$123.45","5"
"Disposables","Lava Big Boy 7,000 Puff, Cool Mint","$131.94","$123.14","6"
"Disposables","Geek Bar Pulse X 25K, Sour Apple Ice","$129.95","$122.15","5"
"Disposables","Raz DC25000, Georgia Peach","$129.95","$120.15","5"
"Disposables","Elf Bar 5000 Puff, Miami Mint","$121.94","$115.94","6"
"Disposables","Geek Bar Pulse, Blue Mint","$114.95","$112.65","5"
"Disposables","Geek Bar Pulse X 25K, Grapefruit Refresher","$129.95","$111.75","5"
"Disposables","Iron Mike Tyson 15,000, Blue Razz","$119.95","$110.35","5"
"Disposables","Iron Mike Tyson 15,000, Cool Mint","$119.95","$110.35","5"
"Disposables","Geek Bar Pulse, Meta Moon","$114.95","$105.75","5"
"Disposables","Lava Big Boy 7,000 Puff 3% Blueberry Raspberry","$109.95","$105.55","5"
"Disposables","Geek Bar Pulse, Frozen Blackberry Fab","$114.95","$103.45","5"
"Disposables","Pod Juice Bar 30K, Strawberry Watermelon Dragonfruit","$114.95","$101.75","5"
"Disposables","Lava Plus 3% Blueberry Raspberry Lemon","$106.92","$100.42","8"
"Disposables","Geek Bar Pulse X 25K, Sour Fcuking Fab","$103.96","$99.36","4"
"Disposables","Lost Mary OS5000 Miami Mint","$105.95","$97.55","5"
"Disposables","Geek Bar Pulse X 25K, Sour Mango Pineapple","$103.96","$96.16","4"
"Disposables","Geek Bar Pulse X 25K, Strawberry B-Pop","$103.96","$96.16","4"
"Disposables","Geek Bar Pulse, Strawberry Banana","$100.00","$94.00","5"
"Disposables","Iron Mike Tyson 15,000, Frozen Grape","$95.96","$91.16","4"
"Disposables","BC5000, Strawberry Ice","$90.95","$89.25","5"
"Disposables","Geek Bar Pulse, Frozen Pina Colada","$91.96","$87.36","4"
"Disposables","Geek Bar Pulse, Frozen White Grape","$91.96","$87.36","4"
"Disposables","Pod Juice Bar 30K, Watermelon Skitz","$91.96","$87.36","4"
"Disposables","Off-Stamp SW9000 Kit, California Cherry","$101.94","$86.64","6"
"Disposables","Geek Bar Pulse, Berry Bliss","$91.96","$86.36","4"
"Disposables","Pod Juice Bar 30K, Clear Green","$91.96","$85.06","4"
"Disposables","Yogi Bar 8000, Java Granola","$87.96","$81.36","4"
"Disposables","Lava Plus, 3%, Berry Mist","$80.94","$79.64","6"
"Disposables","Lava Plus 3%, Solo Mint","$79.99","$78.49","6"
"Disposables","Raz DC25000, Strawberry Burst","$77.97","$77.97","3"
"Disposables","Raz DC25000, Watermelon Ice","$77.97","$77.97","3"
"Disposables","Fifty Bar 6500, Blueberry Cereal Donut Milk","$79.96","$75.96","4"
"Disposables","Lost Mary OS5000, Spearmint","$81.96","$72.36","4"
"Disposables","Elf Bar 5000 Puff, Strawberry Kiwi","$71.96","$71.96","4"
"Disposables","Digiflavor Lush 20K, Watermelon Ice","$74.97","$70.67","3"
"Disposables","Geek Bar Pulse X 25K, Banana Taffy Freeze","$77.97","$70.17","3"
"Disposables","Raz DC25000, Blueberry Watermelon","$74.97","$69.97","3"
"Disposables","Spaceman Nebula 25K Plus Apple Mango Melon","$71.97","$69.57","3"
"Disposables","Spaceman Nebula 25K Plus Cherry Fizz","$71.97","$69.57","3"
"Disposables","Raz DC25000, Cherry Strapple","$77.97","$69.17","3"
"Disposables","Lightrise TB 18K, Blueberry Raspberry","$74.97","$68.72","3"
"Disposables","Lava Plus 5% Strawberry Lemon Mint","$69.95","$67.55","5"
"Disposables","Lava Plus 5% Cool Mint","$69.95","$67.15","5"
"Disposables","Geek Bar Pulse, Cherry Bomb","$68.97","$66.67","3"
"Disposables","Geek Bar Pulse, Frozen Strawberry","$68.97","$66.67","3"
"Disposables","Geek Bar Pulse, Sour Apple Blow Pop","$68.97","$66.67","3"
"Disposables","Pod Juice Bar 30K, Fab Fcuks","$68.97","$66.67","3"
"Disposables","Lightrise TB 18K, Peach Lemonade","$74.97","$66.22","3"
"Disposables","Lava Big Boy 7,000 Puff 5% Watermelon Mint","$65.97","$65.97","3"
"Disposables","Geek Bar Pulse, Frozen Cherry Apple","$68.97","$64.37","3"
"Disposables","Geek Bar Pulse, Watermelon Ice","$68.97","$64.37","3"
"Disposables","Lava Big Boy 7,000 Puff 3% Spearmint","$65.97","$63.77","3"
"Disposables","Lava Big Boy 7,000 Puff, Strawberry Watermelon Punch","$65.97","$63.77","3"
"Disposables","Geek Bar Pulse X 25K, Raspberry Peach Lime","$77.97","$62.37","3"
"Disposables","Off-Stamp SW9000 Kit, Sour Lush Gummy","$67.96","$61.16","4"
"Disposables","Lava Big Boy 7,000 Puff 5% Clear","$60.00","$60.00","3"
"Disposables","Digiflavor Lush 20K, Miami Mint","$74.97","$59.97","3"
"Disposables","Fifty Bar 6500, Milky Loops","$59.97","$57.97","3"
"Disposables","Lost Mary OS5000, Juicy Peach","$59.97","$57.97","3"
"Disposables","Off-Stamp SW9000 Refill, California Cherry","$59.95","$56.35","5"
"Disposables","Fifty Bar 6500, Strawberry Cereal Donut Milk","$59.97","$55.97","3"
"Disposables","Lost Mary OS5000, Clear","$59.97","$55.97","3"
"Disposables","Lava Plus 5% Clear","$55.96","$55.96","4"
"Disposables","Orion Bar 10K Miami Mint","$51.99","$51.99","3"
"Disposables","BC5000, Snoow Grape","$59.97","$51.97","3"
"Disposables","Digiflavor Lush 20K, Berry Bomb","$49.98","$49.98","2"
"Disposables","Geek Bar Pulse X 25K, Lime Berry Orange","$51.98","$49.38","2"
"Disposables","Raz DC25000, Miami Mint","$51.98","$49.38","2"
"Disposables","Raz DC25000, Night Crawler","$51.98","$49.38","2"
"Disposables","Off-Stamp SW9000 Kit, Cherry Strazz","$50.97","$49.27","3"
"Disposables","Iron Mike Tyson 15,000, Apple Mango Pear","$47.98","$47.98","2"
"Disposables","Spaceman Nebula 25K Plus Sour Grape BG","$47.98","$47.98","2"
"Disposables","Spaceman Nebula 25K Plus Triple Raspberry","$47.98","$47.98","2"
"Disposables","Lightrise TB 18K, Duo Black Ice","$46.99","$46.99","2"
"Disposables","Geek Bar Pulse, Frozen Watermelon","$45.98","$45.98","2"
"Disposables","Spaceman Nebula 25K Plus Watermelon Dragon","$47.98","$45.58","2"
"Disposables","Off-Stamp SW9000 Refill, Sour Lush Gummy","$47.96","$45.56","4"
"Disposables","Digiflavor Lush 20K, Blue Razz Ice","$49.98","$44.98","2"
"Disposables","Lightrise TB 18K, Strawberry Summertime","$46.99","$44.49","2"
"Disposables","Lost Mary Elf Bar 5,000, Lemon Lime","$43.98","$43.98","2"
"Disposables","Geek Bar Pulse, FAB","$45.98","$43.68","2"
"Disposables","Geek Bar Pulse, OMG Blow Pop","$45.98","$43.68","2"
"Disposables","Spaceman Nebula 25K Plus Straw Razz Cherry","$47.98","$43.18","2"
"Disposables","Geek Bar Pulse, Blow Pop","$45.98","$41.38","2"
"Disposables","Geek Bar Pulse, Sour Apple Ice","$45.98","$41.38","2"
"Disposables","Geek Bar Pulse, Strawberry Mango","$45.98","$41.38","2"
"Disposables","Pod Juice Bar 30K, Blue Slushy Ice","$45.98","$41.38","2"
"Disposables","Pod Juice Bar 30K, Sour Apple Skitz","$45.98","$41.38","2"
"Disposables","Pod Juice Bar 30K, Strawberry Lolly","$45.98","$41.38","2"
"Disposables","Raz TN9000, Mango Colada","$45.98","$41.38","2"
"Disposables","Lava Plus 3% Apple Peach Ice","$41.97","$40.57","3"
"Disposables","Lava Plus 3% Ice Grape","$41.97","$40.57","3"
"Disposables","Echo 16K Bolt, Berry Baja Blast Ice","$42.49","$40.19","2"
"Disposables","Geekvape RAZ 0% NIC 6,000 Puff, Spearmint","$39.98","$39.98","2"
"Disposables","Lost Mary MO5000, White Strawberry Ice","$39.98","$39.98","2"
"Disposables","Lava Big Boy Frozen 7,000 Puff 5% Apple Pear","$43.98","$39.58","2"
"Disposables","Geekvape RAZ 0% NIC 6,000 Puff, Frozen Strawberry","$39.98","$37.98","2"
"Disposables","Geekvape RAZ 0% NIC 6,000 Puff, Watermelon Ice","$39.98","$37.98","2"
"Disposables","BC5000, Watermelon BG","$35.98","$35.98","2"
"Disposables","Orion Bar 10K Strawberry Chew","$39.98","$35.98","2"
"Disposables","Priv Bar Turbo, Dr. Cherry","$36.00","$34.80","3"
"Disposables","Echo 16K Bolt, Electric Blue Razz","$45.98","$34.49","2"
"Disposables","Off-Stamp SW9000 Kit, Juicy Peach","$33.98","$33.98","2"
"Disposables","VIHO Turbo, Mighty Mint","$34.99","$32.79","2"
"Disposables","Lost Mary OS5000, Mary Dream","$39.98","$32.38","2"
"Disposables","Off-Stamp SW9000 Refill, Key Lime","$35.97","$32.37","3"
"Disposables","Off-Stamp SW9000 Kit, Watermelon Ice","$33.98","$32.28","2"
