"Items Report","","","",""
"Oct 1, 2024 12:00 AM - Oct 31, 2024 11:59 PM","","","",""
"Category Name","Name","Gross Sales","Net Sales","Sold"
"Disposables","Geek Bar Pulse, Miami Mint","$901.59","$901.59","41"
"Disposables","Yogi Lucid Boost 20K, Cool Mint","$551.76","$551.76","24"
"Disposables","Raz DC25000, Razzle Dazzle","$374.85","$374.85","15"
"Disposables","Geek Bar Pulse, Sour Watermelon Drop","$351.84","$351.84","16"
"Disposables","Lava Plus 5% Clear Ice","$349.75","$349.75","25"
"Disposables","Geek Bar Pulse X 25K, Miami Mint","$337.87","$337.87","13"
"Disposables","Geek Bar Pulse, Frozen White Grape","$307.86","$307.86","14"
"Disposables","Geek Bar Pulse, Watermelon Ice","$295.86","$295.86","14"
"Disposables","Geek Bar Pulse, Frozen Pina Colada","$285.87","$285.87","13"
"Disposables","Geek Bar Pulse, Mexico Mango","$241.89","$241.89","11"
"Disposables","Lava Plus 5% Cool Mint","$225.83","$225.83","17"
"Disposables","Geek Bar Pulse, Sour Gush","$219.90","$219.90","10"
"Disposables","Geek Bar Pulse X 25K, Lemon Heads","$207.92","$207.92","8"
"Disposables","Geek Bar Pulse X 25K, Orange Fcuking Fab","$207.92","$207.92","8"
"Disposables","Off-Stamp SW9000 Refill, Miami Mint","$203.83","$203.83","17"
"Disposables","Lost Mary Quasar, Super Mint","$183.92","$183.92","8"
"Disposables","Geek Bar Pulse, FAB","$175.92","$175.92","8"
"Disposables","Pod Juice Bar 30K, Clear Emerald","$160.93","$160.93","7"
"Disposables","Geek Bar Pulse X 25K, Raspberry Peach Lime","$155.94","$155.94","6"
"Disposables","Geek Bar Pulse X 25K, Sour Fcuking Fab","$155.94","$155.94","6"
"Disposables","Geek Bar Pulse, Dragon Melon","$153.93","$153.93","7"
"Disposables","Geek Bar Pulse, Sour Strawberry","$153.93","$153.93","7"
"Disposables","Lava Plus 5% Clear","$153.89","$153.89","11"
"Disposables","Geek Bar Pulse, Frozen Strawberry","$147.00","$147.00","7"
"Disposables","Fifty Bar 20K, Yeti Mint","$137.94","$137.94","6"
"Disposables","Geek Bar Pulse, Black Cherry","$131.94","$131.94","6"
"Disposables","Geek Bar Pulse, Sour Apple Ice","$131.94","$131.94","6"
"Disposables","Raz DC25000, New York Mint","$129.95","$129.95","5"
"Disposables","Lava Plus 5% Jolly Rancher Ice","$125.91","$125.91","9"
"Disposables","Fifty Bar 6500, Milky Loops","$119.94","$119.94","6"
"Disposables","Yogi Lucid Boost 20K, Sweet Tobacco","$114.95","$114.95","5"
"Disposables","Yogi Lucid Boost 20K, Unflavored","$114.95","$114.95","5"
