"Items Report","","","",""
"Sep 1, 2024 12:00 AM - Sep 30, 2024 11:59 PM","","","",""
"Category Name","Name","Gross Sales","Net Sales","Sold"
"Disposables","Geek Bar Pulse, Miami Mint","$791.64","$791.64","36"
"Disposables","Yogi Lucid Boost 20K, Cool Mint","$413.82","$413.82","18"
"Disposables","Geek Bar Pulse, Watermelon Ice","$351.84","$351.84","16"
"Disposables","Geek Bar Pulse X 25K, Miami Mint","$337.87","$337.87","13"
"Disposables","Geek Bar Pulse, Frozen Pina Colada","$329.85","$329.85","15"
"Disposables","Geek Bar Pulse X 25K, Lemon Heads","$311.88","$311.88","12"
"Disposables","Lava Plus 5% Clear Ice","$293.79","$293.79","21"
"Disposables","Geek Bar Pulse, Frozen White Grape","$285.87","$285.87","13"
"Disposables","Geek Bar Pulse, Mexico Mango","$285.87","$285.87","13"
"Disposables","Raz DC25000, Razzle Dazzle","$249.90","$249.90","10"
"Disposables","Geek Bar Pulse, Black Cherry","$241.89","$241.89","11"
"Disposables","Geek Bar Pulse, FAB","$241.89","$241.89","11"
"Disposables","Geek Bar Pulse X 25K, Orange Fcuking Fab","$233.91","$233.91","9"
"Disposables","Pod Juice Bar 30K, Jewel Mint","$209.90","$209.90","10"
"Disposables","Pod Juice Bar 30K, Blue Razzle Pop","$183.92","$183.92","8"
"Disposables","Pod Juice Bar 30K, Fruity Pebz","$183.92","$183.92","8"
"Disposables","Geek Bar Pulse, OMG Blow Pop","$175.92","$175.92","8"
"Disposables","Geek Bar Pulse, Strawberry Mango","$175.92","$175.92","8"
"Disposables","Lava Big Boy 7,000 Puff 3% Clear Ice","$170.91","$170.91","9"
"Disposables","Geek Bar Pulse, Frozen Strawberry","$168.00","$168.00","8"
"Disposables","Geek Bar Pulse X 25K, Blue Razz Ice","$160.93","$160.93","7"
"Disposables","Geek Bar Pulse X 25K, Blackberry B-Pop","$155.94","$155.94","6"
"Disposables","Raz DC25000, Black Cherry Peach","$155.94","$155.94","6"
"Disposables","Geek Bar Pulse, Blue Razz Ice","$153.93","$153.93","7"
"Disposables","Geek Bar Pulse, Juicy Peach Ice","$153.93","$153.93","7"
"Disposables","Geek Bar Pulse, Meta Moon","$153.93","$153.93","7"
"Disposables","Lava Plus 5% Cool Mint","$153.89","$153.89","11"
"Disposables","Lost Mary Quasar, Super Mint","$137.94","$137.94","6"
"Disposables","Geek Bar Pulse, Blueberry Watermelon","$131.94","$131.94","6"
"Disposables","Geek Bar Pulse, Cherry Bomb","$131.94","$131.94","6"
"Disposables","Lava Big Boy 7,000 Puff 5% Cool Mint","$131.94","$131.94","6"
"Disposables","Off-Stamp SW9000 Refill, Miami Mint","$119.90","$119.90","10"
"Disposables","Lava Plus 3% Berry Mist","$116.91","$116.91","9"
"Disposables","JUUL Pods, 3% Menthol (4-Pack)","$114.95","$114.95","5"
"Disposables","Lava Plus 5% Watermelon With Mint","$111.92","$111.92","8"
"Disposables","Lightrise TB 18K, Blueberry Raspberry","$110.96","$110.96","5"
"Disposables","Geek Bar Pulse, Crazy Melon","$109.95","$109.95","5"
"Disposables","Geek Bar Pulse, Sour Apple Blow Pop","$109.95","$109.95","5"
"Disposables","Geek Bar Pulse, Sour Apple Ice","$109.95","$109.95","5"
"Disposables","Pod Juice Bar 30K, Clear Jewel","$109.95","$109.95","5"
"Disposables","Pod Juice Bar 30K, Strawberry Watermelon Dragonfruit","$109.95","$109.95","5"
"Disposables","Off-Stamp SW9000 Refill, California Cherry","$107.91","$107.91","9"
"Disposables","Pod Juice Bar 30K, Big Melons","$104.95","$104.95","5"
"Disposables","Geek Bar Pulse X 25K, Sour Fcuking Fab","$103.96","$103.96","4"
"Disposables","Geek Bar Pulse X 25K, Sour Mango Pineapple","$103.96","$103.96","4"
"Disposables","Geek Bar Pulse X 25K, Strawberry B-Pop","$103.96","$103.96","4"
"Disposables","Raz DC25000, Frozen Cherry Apple","$103.96","$103.96","4"
"Disposables","Raz DC25000, Frozen Dragonfruit Lemon","$103.96","$103.96","4"
"Disposables","Raz DC25000, Frozen Raspberry Watermelon","$103.96","$103.96","4"
"Disposables","Off-Stamp SW9000 Kit, California Cherry","$101.94","$101.94","6"
"Disposables","Iron Mike Tyson 15,000, Menthol","$99.95","$99.95","5"
"Disposables","Off-Stamp SW16000 Refill, Rainbow Sherbet","$98.94","$98.94","6"
"Disposables","Lava Plus 5% Clear","$97.93","$97.93","7"
"Disposables","Lava Plus 5% Jolly Rancher Ice","$97.93","$97.93","7"
"Disposables","Fifty Bar 20K, Yeti Mint","$91.96","$91.96","4"
"Disposables","Lost Mary Quasar, Shooting Starsicle","$91.96","$91.96","4"
"Disposables","Lava Plus 3% Solo Mint","$91.00","$91.00","7"
"Disposables","Funky Lands Ti7000, Rinbo Cloudd","$89.95","$89.95","5"
"Disposables","Geek Bar Pulse, Dragon Melon","$87.96","$87.96","4"
"Disposables","Geek Bar Pulse, Grape Lemon","$87.96","$87.96","4"
"Disposables","Off-Stamp SW16000 Refill, Blue Razz Grape Ice","$82.45","$82.45","5"
"Disposables","BC5000, Miami Mint","$80.00","$80.00","5"
"Disposables","Geek Bar Pulse, Strawberry Banana","$80.00","$80.00","4"
"Disposables","Raz DC25000, Bangin' Sour Berries","$77.97","$77.97","3"
"Disposables","Raz DC25000, Georgia Peach","$77.97","$77.97","3"
"Disposables","Raz DC25000, Rainbow Rain","$77.97","$77.97","3"
"Disposables","Raz DC25000, Strawberry Kiwi Pear","$77.97","$77.97","3"
"Disposables","Lava Plus 3% Apple Peach Ice","$69.95","$69.95","5"
"Disposables","Lightrise TB 18K, Peach Lemonade","$68.97","$68.97","3"
"Disposables","Lost Mary Quasar, Virgo Mint","$68.97","$68.97","3"
"Disposables","Pod Juice Bar 30K, Strawberry Lolly","$68.97","$68.97","3"
"Disposables","Pod Juice Bar 30K, Wap Drops","$68.97","$68.97","3"
"Disposables","Yogi Lucid Boost 20K, Sour Blueberry Punch","$68.97","$68.97","3"
"Disposables","Yogi Lucid Boost 20K, Unflavored","$68.97","$68.97","3"
"Disposables","Geek Bar Pulse, Orange Creamsicle","$65.97","$65.97","3"
"Disposables","Geek Bar Pulse, Pink Lemonade","$65.97","$65.97","3"
"Disposables","Geek Bar Pulse, White Gummy Ice","$65.97","$65.97","3"
"Disposables","Lava Plus 3% Blueberry Raspberry Lemon","$64.95","$64.95","5"
"Disposables","Fifty Bar 6500, Vanilla Custard","$59.97","$59.97","3"
"Disposables","Lost Mary OS5000, Clear","$59.97","$59.97","3"
"Disposables","Raz TN9000, Mango Colada","$59.97","$59.97","3"
"Disposables","Off-Stamp SW9000 Refill, Watermelon Ice","$59.95","$59.95","5"
"Disposables","Tyson Heavy Weight, Tobacco","$56.97","$56.97","3"
"Disposables","Lava Plus 0% Clear","$55.96","$55.96","4"
"Disposables","Lava Plus 3% Skittles","$55.96","$55.96","4"
"Disposables","Yogi Bar 8000, Java Granola","$53.97","$53.97","3"
"Disposables","Geek Bar Pulse X 25K, Sour Apple Ice","$51.98","$51.98","2"
"Disposables","Raz DC25000, Blue Raz Ice","$51.98","$51.98","2"
"Disposables","Lava Plus 3% Spearmint","$51.96","$51.96","4"
"Disposables","Lost Mary OS5000, Cherry Cola","$50.98","$50.98","3"
"Disposables","Raz DC25000, Mango Loco","$49.98","$49.98","2"
"Disposables","Off-Stamp SW16000 Refill, Mango Twist","$49.47","$49.47","3"
"Disposables","Off-Stamp SW16000 Refill, Strawmelon Peach Ice","$49.47","$49.47","3"
"Disposables","Juice Head 30K, Cool Mint","$48.98","$48.98","2"
"Disposables","Geek Bar Skyview, Strawberry Ice","$47.98","$47.98","2"
"Disposables","Off-Stamp SW9000 Refill, Sour Lush Gummy","$47.96","$47.96","4"
"Disposables","Fifty Bar 20K, Pink Sour Straws","$45.98","$45.98","2"
"Disposables","Geek Bar Pulse X 25K, Watermelon Ice","$45.98","$45.98","2"
"Disposables","Lightrise TB 18K, Berry Stardust","$45.98","$45.98","2"
"Disposables","Lightrise TB 18K, Watermelon Ice","$45.98","$45.98","2"
"Disposables","Lost Mary Quasar, Big Bangin Berry","$45.98","$45.98","2"
"Disposables","Lost Mary Quasar, Orion Sour Belt","$45.98","$45.98","2"
"Disposables","Pod Juice Bar 30K, Blue Slushy Ice","$45.98","$45.98","2"
"Disposables","Pod Juice Bar 30K, Clear Blue","$45.98","$45.98","2"
"Disposables","Pod Juice Bar 30K, Clear Emerald","$45.98","$45.98","2"
"Disposables","Pod Juice Bar 30K, Clear Green","$45.98","$45.98","2"
"Disposables","Pod Juice Bar 30K, Juicy Bae Watermelon","$45.98","$45.98","2"
"Disposables","Pod Juice Bar 30K, Juicy Rainbow Ice","$45.98","$45.98","2"
"Disposables","Raz TN9000, Miami Mint","$45.98","$45.98","2"
"Disposables","Raz TN9000, Night Crawler ZERO NICOTINE","$45.98","$45.98","2"
"Disposables","Yogi Lucid Boost 20K, White Gummy","$45.98","$45.98","2"
