"Items Report","","","",""
"Nov 1, 2024 1:00 AM - Nov 30, 2024 11:59 PM","","","",""
"Category Name","Name","Gross Sales","Net Sales","Sold"
"Disposables","Geek Bar Pulse, Miami Mint","$879.60","$879.60","40"
"Disposables","Geek Bar Pulse X 25K, Miami Mint","$623.76","$623.76","24"
"Disposables","Digiflavor Sky 25K, Sour Watermelon Blue Razz","$321.86","$321.86","14"
"Disposables","Geek Bar Pulse, Watermelon Ice","$319.84","$319.84","16"
"Disposables","Geek Bar Pulse, Sour Watermelon Drop","$285.87","$285.87","13"
"Disposables","Lava Plus 5% Clear Ice","$251.82","$251.82","18"
"Disposables","Geek Bar Pulse, Dragon Melon","$241.89","$241.89","11"
"Disposables","Geek Bar Pulse, Sour Strawberry","$241.89","$241.89","11"
"Disposables","Geek Bar Pulse, Mexico Mango","$219.90","$219.90","10"
"Disposables","Geek Bar Pulse, White Gummy Ice","$219.90","$219.90","10"
"Disposables","Lost Mary Quasar, Super Mint","$206.91","$206.91","9"
"Disposables","Fifty Bar V2, Mint","$203.91","$203.91","9"
"Disposables","Geek Bar Pulse, Frozen White Grape","$197.91","$197.91","9"
"Disposables","Geek Bar Pulse, Haunted BlueberryM","$197.91","$197.91","9"
"Disposables","Geek Bar Pulse X 25K, Pink & Blue","$181.93","$181.93","7"
"Disposables","Lava Plus 5% Clear","$181.87","$181.87","13"
"Disposables","Geek Bar Pulse, Frozen Pina Colada","$175.92","$175.92","8"
"Disposables","Geek Bar Pulse, Sour Gush","$175.92","$175.92","8"
"Disposables","Geek Bar Pulse X 25K, ATL Mint","$174.93","$174.93","7"
"Disposables","Fifty Bar V2 20K, Gold Tobacco","$160.93","$160.93","7"
"Disposables","Geek Bar Pulse X 25K, Orange Fcuking Fab","$155.94","$155.94","6"
"Disposables","Lava Plus 5% Cool Mint","$155.88","$155.88","12"
"Disposables","Geek Bar Pulse, Blue Razz Ice","$153.93","$153.93","7"
"Disposables","Geek Bar Pulse, Grape Blow Pop","$153.93","$153.93","7"
"Disposables","Geek Bar Pulse, Spooky Vanilla","$153.93","$153.93","7"
"Disposables","Digiflavor Sky 25K, Peach Blue Slushy","$137.94","$137.94","6"
"Disposables","Geek Bar Pulse, Black Cherry","$131.94","$131.94","6"
"Disposables","Geek Bar Pulse, Cherry Bomb","$131.94","$131.94","6"
"Disposables","Geek Bar Pulse, FAB","$131.94","$131.94","6"
"Disposables","Lava Plus 3% Berry Mist","$129.90","$129.90","10"
"Disposables","Geek Bar Pulse, Frozen Strawberry","$126.00","$126.00","6"
"Disposables","Geek Bar Pulse X 25K, Strawberry Watermelon","$124.95","$124.95","5"
"Disposables","Raz DC25000, Strawberry Granola","$116.95","$116.95","5"
"Disposables","Lava Plus 3% Spearmint","$116.91","$116.91","9"
"Disposables","Off-Stamp SW16000 Refill, Blue Razz Grape Ice","$115.43","$115.43","7"
"Disposables","Off-Stamp SW16000 Refill, Winter Mint","$115.43","$115.43","7"
"Disposables","Digiflavor Sky 25K, Miami Mint","$114.95","$114.95","5"
"Disposables","Digiflavor Sky 25K, Strawberry Watermelon Coconut","$114.95","$114.95","5"
"Disposables","Fifty Bar V2 20K, Milky Loops","$114.95","$114.95","5"
"Disposables","Yogi Lucid Boost 20K, Cool Mint","$114.95","$114.95","5"
"Disposables","Yogi Lucid Boost 20K, Unflavored","$114.95","$114.95","5"
"Disposables","Lava Plus 5% Strawberry Lemon Mint","$111.92","$111.92","8"
"Disposables","Geek Bar Pulse, Juicy Peach Ice","$109.95","$109.95","5"
"Disposables","Geek Bar Pulse X 25K, Raspberry Peach Lime","$103.96","$103.96","4"
