"Items Report","","","",""
"Jul 1, 2024 12:00 AM - Jul 31, 2024 11:59 PM","","","",""
"Category Name","Name","Gross Sales","Net Sales","Sold"
"Disposables","Geek Bar Pulse, Miami Mint","$781.66","$747.16","34"
"Disposables","Lightrise TB 18K, Cool Mint","$748.00","$721.60","34"
"Disposables","Geek Bar Pulse, FAB","$554.75","$533.45","25"
"Disposables","Geek Bar Pulse X 25K, Lemon Heads","$441.83","$413.23","17"
"Disposables","Geek Bar Pulse X 25K, Miami Mint","$389.85","$377.45","15"
"Disposables","Geek Bar Pulse, White Gummy Ice","$318.86","$286.76","14"
"Disposables","Geek Bar Pulse, Juicy Peach Ice","$274.87","$262.27","13"
"Disposables","Geek Bar Pulse, Frozen Pina Colada","$259.88","$248.78","12"
"Disposables","Yogi Lucid Boost 20K, Cool Mint","$275.88","$248.29","12"
"Disposables","Pod Juice Bar 30K, Jewel Mint","$249.90","$236.10","11"
"Disposables","Iron Mike Tyson 15,000, Blue Razz","$243.99","$234.99","11"
"Disposables","Geek Bar Pulse, Watermelon Ice","$229.90","$220.70","10"
"Disposables","Geek Bar Pulse, Strawberry Banana","$220.00","$210.00","11"
"Disposables","Lava Plus 5% Clear Ice","$209.85","$208.45","15"
"Disposables","Geek Bar Pulse X 25K, Blue Razz Ice","$207.92","$202.72","8"
"Disposables","Geek Bar Pulse, Crazy Melon","$206.91","$202.31","9"
"Disposables","Geek Bar Pulse, Strawberry Mango","$206.91","$198.02","9"
"Disposables","Geek Bar Pulse, Blue Razz Ice","$206.91","$195.41","9"
"Disposables","BC5000, Miami Mint","$193.90","$189.90","10"
"Disposables","Geek Bar Pulse, Mexico Mango","$188.91","$184.71","9"
"Disposables","Geek Bar Pulse, Cherry Bomb","$179.92","$171.97","8"
"Disposables","Geek Bar Pulse X 25K, Sour Fcuking Fab","$181.93","$171.53","7"
"Disposables","Geek Bar Pulse, Dragon Melon","$175.92","$160.52","8"
"Disposables","Pod Juice Bar 30K, Clear Green","$160.93","$156.33","7"
"Disposables","Fifty Bar 6500, Strawberry Cereal Donut Milk","$159.92","$155.92","8"
"Disposables","Off-Stamp SW9000 Refill, Miami Mint","$155.87","$154.67","13"
"Disposables","Geek Bar Pulse, Frozen Watermelon","$160.93","$154.03","7"
"Disposables","Geek Bar Pulse, Sour Apple Ice","$160.93","$154.03","7"
"Disposables","Geek Bar Pulse X 25K, Sour Apple Ice","$155.94","$150.74","6"
"Disposables","Geek Bar Pulse X 25K, Orange Fcuking Fab","$155.94","$148.14","6"
"Disposables","Geek Bar Pulse, Meta Moon","$156.93","$147.93","7"
"Disposables","Fifty Bar 6500, Milky Loops","$159.92","$147.92","8"
"Disposables","Geek Bar Pulse, Frozen White Grape","$160.93","$147.13","7"
"Disposables","Geek Bar Pulse, Frozen Strawberry","$169.99","$144.59","8"
"Disposables","Geek Bar Pulse X 25K, Strawberry B-Pop","$155.94","$141.64","6"
"Disposables","Lava Plus 5% Cool Mint","$139.90","$138.50","10"
"Disposables","Lava Big Boy 7,000 Puff 5% Cool Mint","$137.93","$135.73","7"
"Disposables","Geek Bar Pulse X 25K, Watermelon Ice","$137.94","$128.74","6"
"Disposables","Pod Juice Bar 30K, Sour Apple Skitz","$134.95","$128.05","6"
"Disposables","Digiflavor Lush 20K, Miami Mint","$124.95","$117.45","5"
"Disposables","Lava Plus 3% Blueberry Raspberry Lemon","$116.91","$115.61","9"
